id,title,date,location
1652,Pest Megyei Régió Területi Bajnokság - TB Felnőtt A LAT 2015.03.07,2015.03.07,Csömör
1653,DanceNet Kupa - Junior II D LAT 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
1654,-  0000.00.00,0000.00.00,
1655,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - Szóló Junior E Standard 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
1656,B-A-S és Senior Open Országos Bajnokság és Klubközi táncverseny - OB Felnőtt A LAT 2023.11.25,2023.11.25,"1213 Budapest, Hollandi út 8"
1657,Hungarian Open - Senior I D Standard 2017.11.11,2017.11.11,Budapest
1658,"E OB, U21 Tíztánc MB és Klubközi Verseny - OB Ifjúsági E Standard 2022.09.10",2022.09.10,"Csömör, Major út 7-9"
1659,-  0000.00.00,0000.00.00,
1660,XVI. Kistelek Open - Junior II D Standard 2019.09.29,2019.09.29,Kistelek
1661,XXI. Zánkai Táncfesztivál - Gyermek II E LAT 2015.08.25,2015.08.25,Zánka
1662,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Felnőtt S Standard 2016.12.10",2016.12.10,Békéscsaba
1663,MTÁSZ Pest-megyei Régió Bajnokság - TB Gyermek II D LAT 2018.03.03,2018.03.03,Csömör
1664,Budapesti Területi Bajnokság - TB Junior II E LAT 2019.03.02,2019.03.02,Csömör
1665,Balaton Summer Táncverseny - Senior III E Standard 2023.08.10,2023.08.10,"Marcali, Park utca 16"
1666,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Junior I E LAT 2023.12.09",2023.12.09,SC Csongrád Sághy Mihály Technikum
1667,XIII. Ametiszt Kupa - Felnőtt D LAT 2017.12.03,2017.12.03,Kaposvár
1668,VII. Danza Kupa - Junior II - Ifjúsági C LAT 2017.03.19,2017.03.19,Budapest
1669,Kelet-Magyarország Területi Bajnokság - Szóló Gyermek II. Közép-Haladó LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
1670,"Szigo Kupa- Felnőtt-Ifjúsági Tíztánc, Junior Latin és Senior Standard Ranglista- és Klubközi Verseny - Junior I C LAT 2015.05.30",2015.05.30,Komló
1671,"ISIS DANCE OPEN-Felnőtt-Ifjúsági-Senior Tíztánc, Junior Standard,  Professional Latin - Gyermek II D LAT 2019.10.19",2019.10.19,"Szombathely, AGORA Művelődési és Sportház"
1672,Bem kupa - Felnőtt D LAT 2016.12.04,2016.12.04,Mogyoród
1673,XIII. Hatvan Kupa - Junior I E LAT 2021.08.28,2021.08.28,"3000. Hatvan, Balassi Bálint út 2"
1674,"Lászlóvill Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin és Professzionista Standard Ranglista és Klubközi Táncverseny - Felnőtt E LAT 2018.03.24",2018.03.24,Székesfehérvár
1675,Szigo Kupa - Ifjúsági B Standard 2021.06.12,2021.06.12,"Siklós, Gyűdi út 2"
1676,"Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzinális Latin Ranglistaverseny, E Hattánc és D Nyolctánc Országos Bajnokság és Klubközi táncverseny - RL Junior Standard 2019.02.23",2019.02.23,Hajdúnánás
1677,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - Junior II D LAT 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
